Channel,Grocery (bin),Region,Delicassen,Detergents Paper,Fresh,Frozen,Grocery,Milk,Zero
Offline,7K,Others,1338,2674,12669,214,7561,9656,0
Offline,7K,Others,1776,3293,7057,1762,9568,9810,0
Offline,7K,Others,7844,3516,6353,2405,7684,8808,0
Online,4K,Others,1788,507,13265,6404,4221,1196,0
Offline,7K,Others,5185,1777,22615,3915,7198,5410,0
Offline,4K,Others,1451,1795,9413,666,5126,8259,0
Offline,4K,Others,545,3140,12126,480,6975,3199,0
Offline,7K,Others,2566,3321,7579,1669,9426,4956,0
Online,4K,Others,750,1716,5963,425,6192,3648,0
Offline,18K,Others,2098,7425,6006,1159,18881,11093,0
Offline,11K,Others,1744,5977,3366,4400,12974,5403,0
Offline,4K,Others,497,549,13146,1420,4523,1124,0
Offline,11K,Others,2931,3881,31714,287,11757,12319,0
Offline,14K,Others,602,6707,21217,3095,14982,6208,0
Offline,11K,Others,2168,5058,24653,294,12091,9465,0
Online,4K,Others,412,964,10253,397,3821,1114,0
Offline,11K,Others,1080,4508,1020,134,12121,8816,0
Online,0K,Others,4478,370,5876,839,2933,6157,0
Offline,7K,Others,3181,2767,18601,2205,10099,6327,0
Online,7K,Others,501,2518,7780,669,9464,2495,0
Offline,4K,Others,2124,2259,17546,1066,4602,4519,0
Online,0K,Others,569,375,5567,3383,2010,871,0
Online,4K,Others,4334,2381,31276,9408,4469,1917,0
Offline,21K,Others,16523,4337,26373,5154,22019,36423,0
Offline,11K,Others,5778,4482,22647,2915,13792,9776,0
Offline,7K,Others,57,4003,16165,201,7595,4230,0
Online,0K,Others,833,242,9898,3151,2861,961,0
Online,0K,Others,518,100,14276,485,3045,803,0
Offline,25K,Others,5206,8604,4113,1158,25957,20484,0
Online,0K,Others,823,1107,43088,1200,2609,2100,0
Online,11K,Others,2963,2134,18815,1148,11107,3610,0
Online,0K,Others,985,820,2612,2088,3133,4339,0
Online,0K,Others,405,918,21632,266,2886,1318,0
Online,7K,Others,1083,361,29729,6130,7326,4786,0
Online,0K,Others,395,483,1502,425,2262,1979,0
Offline,11K,Others,436,4239,688,833,11091,5491,0
Online,4K,Others,4626,862,29955,1729,5428,4362,0
Offline,11K,Others,714,6506,15168,1920,12477,10556,0
Offline,14K,Others,433,6956,4591,33,16709,15729,0
Online,0K,Others,2916,212,56159,10002,902,555,0
Online,4K,Others,5864,1145,24025,9510,4757,4332,0
Online,4K,Others,2802,2575,19176,2033,5956,3065,0
Offline,14K,Others,46,6899,10850,188,14961,7555,0
Offline,21K,Others,72,9529,630,787,23998,11095,0
Offline,7K,Others,65,4618,9670,541,10471,7027,0
Offline,21K,Others,4985,7353,5181,1740,21531,22044,0
Offline,21K,Others,1452,6792,3103,1668,21955,14069,0
Offline,53K,Others,6465,24171,44466,7782,55571,54259,0
Offline,11K,Others,1476,5121,11519,584,10868,6152,0
Offline,29K,Others,1163,13583,4967,1798,28921,21412,0
Online,0K,Others,2162,609,6269,3860,1980,1095,0
Online,4K,Others,301,1538,3347,239,6996,4051,0
Offline,4K,Others,1278,2587,40721,532,5876,3916,0
Offline,11K,Others,224,5611,491,744,11532,10473,0
Online,0K,Others,1333,204,27329,2436,1947,1449,0
Online,4K,Others,1130,2024,5264,1057,5005,3683,0
Offline,25K,Others,1340,17740,4098,2616,26866,29892,0
Offline,7K,Others,1282,7572,5417,38,10487,9933,0
Online,0K,Others,436,227,13779,596,1648,1970,0
Online,7K,Others,1603,3084,6137,129,8040,5360,0
Offline,7K,Others,225,4095,8590,96,7854,3045,0
Offline,57K,Others,2017,26701,35942,3254,59598,38369,0
Offline,4K,Others,964,4074,7823,4154,6544,6245,0
Offline,14K,Others,1295,7677,9396,2896,15775,11601,0
Online,0K,Others,1145,1247,4760,3724,3250,1227,0
Offline,43K,Others,1423,24231,85,36,45828,20959,0
Online,7K,Others,27,3468,9,175,7417,1534,0
Offline,11K,Others,834,5141,19913,1256,13462,6759,0
Online,4K,Others,3095,788,2446,5870,3993,7260,0
Online,0K,Others,144,656,8352,779,1293,2820,0
Online,0K,Others,1365,116,16705,10643,3202,2037,0
Online,18K,Others,14472,4173,18291,5373,21042,1266,0
Online,0K,Others,181,1321,4420,8872,2661,5139,0
Offline,7K,Others,648,764,19899,8132,8713,5332,0
Offline,7K,Others,1780,1901,8190,1285,9794,6343,0
Online,0K,Others,975,3,20398,4407,3,1137,0
Online,4K,Others,894,529,717,7530,6532,3587,0
Offline,29K,Others,1009,12034,12205,869,28540,12697,0
Online,0K,Others,167,301,10766,2096,2067,1175,0
Online,4K,Others,1653,1202,1640,868,3655,3259,0
Online,0K,Others,529,610,7005,430,3009,829,0
Offline,14K,Others,156,7818,219,283,14403,9540,0
Offline,11K,Others,2342,3537,10362,737,11009,9232,0
Online,0K,Others,772,550,20874,2320,1783,1563,0
Offline,4K,Others,120,3837,11867,1178,4814,3327,0
Offline,93K,Others,2944,40827,16117,1026,92780,46197,0
Offline,32K,Others,903,20070,22925,987,32114,73498,0
Online,7K,Others,14351,1579,43265,6312,8117,5025,0
Online,4K,Others,46,165,7864,9735,4042,542,0
Online,4K,Others,3178,454,24904,3443,5330,3836,0
Online,0K,Others,360,69,11405,3347,1638,596,0
Online,0K,Others,1117,627,12754,8693,2530,2762,0
Offline,29K,Others,5130,18906,9198,3232,32034,27472,0
Online,0K,Others,2698,71,11314,35009,2062,3090,0
Offline,11K,Others,244,5038,5626,206,11323,12220,0
Online,4K,Others,709,223,3,440,6252,2920,0
Offline,7K,Others,217,3874,23,145,8118,2616,0
Online,0K,Others,63,54,403,774,610,254,0
Online,0K,Others,132,56,503,895,778,112,0
Online,0K,Others,323,215,9658,5639,1909,2182,0
Offline,11K,Others,3029,8035,11594,3252,12144,7779,0
Offline,14K,Others,1838,6766,1420,1593,16267,10810,0
Offline,7K,Others,1386,4573,2932,2561,7677,6459,0
Online,7K,Others,2498,1480,56082,18028,8906,3504,0
Online,0K,Others,548,1491,14100,1336,3445,2132,0
Online,4K,Others,1378,139,15587,910,3970,1014,0
Offline,11K,Others,1831,6830,1454,133,10704,6337,0
Offline,14K,Others,1438,8969,8797,2471,14886,10646,0
Offline,4K,Others,1236,2505,1531,247,6981,8397,0
Offline,29K,Others,3,836,1406,673,28986,16729,0
Online,0K,Others,1647,169,11818,2276,1694,1648,0
Offline,14K,Others,1519,6457,12579,805,17569,11114,0
Online,0K,Others,2708,483,19046,8853,2469,2770,0
Online,0K,Others,1561,585,14438,3220,1733,2295,0
Online,0K,Others,1266,118,18044,2555,2000,1080,0
Online,0K,Others,610,276,11134,2715,2988,793,0
Online,0K,Others,222,310,11173,1517,3355,2521,0
Online,4K,Others,1160,319,6990,1647,5380,3880,0
Online,0K,Others,933,411,20049,5343,2362,1891,0
Online,0K,Others,635,266,8258,3896,2147,2344,0
Online,0K,Others,1136,174,17160,2417,3412,1200,0
Online,0K,Others,255,264,4020,2395,1498,3234,0
Online,0K,Others,860,25,12212,1991,245,201,0
Offline,7K,Others,143,1976,11170,2194,8814,10769,0
Online,0K,Others,1621,500,36050,4787,2961,1642,0
Online,4K,Others,918,778,76237,16538,7102,3473,0
Online,0K,Others,483,349,19219,8195,1658,1840,0
Offline,7K,Others,2749,2386,21465,880,10685,7243,0
Online,4K,Others,3,1062,140,142,3823,8847,0
Online,0K,Others,1819,410,42312,1718,1510,926,0
Online,0K,Others,911,395,7149,6316,699,2428,0
Online,0K,Others,310,70,2101,346,314,589,0
Online,0K,Others,328,955,14903,576,2479,2032,0
Online,0K,Others,396,256,9434,436,1235,1042,0
Online,0K,Others,537,47,7388,720,2174,1882,0
Online,0K,Others,326,199,6300,1170,2591,1289,0
Online,4K,Others,1542,2447,4625,4575,7030,8579,0
Online,7K,Others,36,721,3087,661,8282,8080,0
Online,4K,Others,3271,249,13537,155,5034,4257,0
Online,0K,Others,929,637,5387,825,3343,4979,0
Online,7K,Others,2616,960,17623,2279,7305,4280,0
Online,4K,Others,1450,51,30379,321,5189,13252,0
Online,7K,Others,3,20,37036,2995,8253,7152,0
Online,0K,Others,318,399,10405,8425,1096,1596,0
Online,0K,Others,201,516,18827,118,1988,3677,0
Offline,32K,Others,4430,12591,22039,42,34792,8384,0
Online,0K,Others,520,73,7769,926,2177,1936,0
Online,0K,Others,526,1082,9203,1286,2707,3373,0
Online,0K,Others,434,283,5924,4052,542,584,0
Online,0K,Others,1440,113,31812,800,1651,1433,0
Online,0K,Others,1067,170,16225,853,1765,1825,0
Online,0K,Others,1774,255,1289,531,2022,3328,0
Online,0K,Others,184,352,18840,3001,3135,1371,0
Online,0K,Others,1627,302,3463,779,2368,9250,0
Online,0K,Others,8,7,622,75,137,55,0
Offline,18K,Others,2153,11577,1989,233,19460,10690,0
Offline,14K,Others,3182,6694,3830,317,14855,5291,0
Online,0K,Others,418,811,17773,3378,2474,1366,0
Offline,7K,Others,1682,4004,2861,930,9618,6570,0
Offline,14K,Others,303,8077,355,398,14682,7704,0
Offline,11K,Others,2157,4424,1725,824,12822,3651,0
Online,0K,Others,2233,3,12434,1092,283,540,0
Online,4K,Others,610,232,15177,2665,3810,2024,0
Offline,25K,Others,446,13726,5531,2367,26870,15726,0
Offline,7K,Others,238,3674,5224,2540,8584,7603,0
Offline,18K,Others,2379,7108,15615,4425,19858,12653,0
Offline,7K,Others,3637,4973,4822,993,9170,6721,0
Online,0K,Others,693,1680,2926,405,3268,3195,0
Online,0K,Others,429,79,5809,1393,803,735,0
Online,0K,Others,750,69,5414,2399,2155,717,0
Offline,11K,Others,323,7015,260,1116,13430,8675,0
Offline,18K,Others,6250,8773,200,651,19816,25862,0
Online,4K,Others,707,2840,955,333,6536,5479,0
Offline,18K,Others,716,9836,514,937,19805,7677,0
Online,4K,Others,1442,153,286,2515,5241,1208,0
Offline,11K,Others,1697,4196,2343,52,11874,7845,0
Online,4K,Others,230,1532,45640,7368,6536,6958,0
Online,4K,Others,2631,20,12759,1752,4533,7330,0
Online,4K,Others,395,120,11002,1152,4945,7075,0
Online,0K,Others,2165,273,3157,4477,2500,4888,0
Online,7K,Others,2794,1382,12356,402,8887,6036,0
Online,18K,Others,8550,4948,112151,16745,18148,29627,0
Online,7K,Others,156,6907,694,443,10518,8533,0
Online,18K,Others,47943,239,36847,36534,20170,43950,0
Online,4K,Others,11,334,327,74,4710,918,0
Online,0K,Others,247,58,8170,2181,1139,6448,0
Online,0K,Others,727,949,3009,3470,854,521,0
Online,7K,Others,3,3459,2438,6269,9819,8002,0
Offline,11K,Others,404,6839,8040,2758,11687,7639,0
Offline,11K,Others,1856,4027,834,275,11522,11577,0
Online,0K,Others,64,118,16936,7332,1981,6250,0
Online,0K,Others,84,43,13624,890,1381,295,0
Online,0K,Others,409,187,5509,547,2251,1461,0
Offline,18K,Others,666,5618,180,959,20292,3485,0
Online,0K,Others,1142,355,7107,806,2974,1012,0
Online,4K,Others,1755,330,17023,7888,5230,5139,0
Online,4K,Amazon,2876,763,30624,18711,4897,7209,0
Offline,7K,Amazon,1468,4314,2427,1127,10391,7097,0
Online,4K,Amazon,697,592,11686,3527,6824,2154,0
Online,0K,Amazon,347,402,9670,520,2112,2280,0
Offline,21K,Amazon,731,9959,3067,3941,23127,13240,0
Offline,21K,Amazon,1681,14235,4484,3549,24708,14399,0
Online,7K,Amazon,6854,284,25203,5065,9490,11487,0
Online,0K,Amazon,18,954,583,469,2216,685,0
Online,4K,Amazon,1328,5,1956,1383,5226,891,0
Offline,21K,Amazon,710,9265,1107,955,23596,11711,0
Online,0K,Amazon,285,288,6373,878,950,780,0
Offline,4K,Amazon,120,5316,2541,2946,6089,4737,0
Online,4K,Amazon,806,3381,1537,1859,5838,3748,0
Offline,14K,Amazon,797,12420,5550,864,16767,12729,0
Online,0K,Amazon,2100,244,18567,1801,1393,1895,0
Offline,39K,Amazon,2870,19410,12119,4736,39694,28326,0
Online,0K,Amazon,1775,240,7291,1291,2062,1012,0
Online,4K,Amazon,1215,3961,3317,1329,6861,6602,0
Offline,11K,Amazon,791,5957,2362,913,11364,6551,0
Online,14K,Amazon,2388,5828,2806,1374,15538,10765,0
Offline,36K,Amazon,674,13308,2532,179,36486,16599,0
Online,0K,Amazon,1158,130,18044,2532,2046,1475,0
Offline,14K,Amazon,6372,4797,18,1285,15205,7504,0
Online,0K,Amazon,130,86,4155,2306,1390,367,0
Online,0K,Amazon,749,56,14755,1765,1382,899,0
Online,7K,Amazon,239,4167,5396,91,10646,7503,0
Online,0K,Amazon,375,256,5041,7496,2856,1115,0
Offline,4K,Amazon,1360,788,2790,5612,5265,2527,0
Online,0K,Amazon,659,70,7274,784,1499,659,0
Online,4K,Amazon,786,761,12680,660,4157,3243,0
Offline,7K,Amazon,1553,2568,20782,1759,9212,5921,0
Online,0K,Amazon,689,263,4042,2286,1563,2204,0
Online,0K,Amazon,203,4762,1869,950,572,577,0
Online,0K,Amazon,980,694,8656,6845,2501,2746,0
Offline,4K,Amazon,2137,955,11072,8321,5615,5989,0
Online,4K,Amazon,490,1566,2344,1439,3828,10678,0
Online,4K,Amazon,834,284,25962,638,3838,1780,0
Online,0K,Amazon,7,409,964,937,3316,4984,0
Online,4K,Amazon,2563,325,15603,4260,3833,2703,0
Online,0K,Amazon,295,1216,1838,1218,2824,6380,0
Online,0K,Amazon,225,415,8635,2312,3047,820,0
Online,0K,Amazon,1215,28,18692,4634,593,3838,0
Online,0K,Amazon,216,72,7363,1112,585,475,0
Online,4K,Amazon,2253,828,47493,5243,3779,2567,0
Online,4K,Amazon,2564,343,22096,11422,7041,3575,0
Online,0K,Amazon,1047,412,24929,2216,2475,1801,0
Online,0K,Amazon,578,586,18226,3752,2914,659,0
Online,4K,Amazon,2398,1682,11210,561,5119,3576,0
Online,11K,Amazon,1970,3143,6202,1183,10817,7775,0
Offline,11K,Amazon,2784,8933,3062,230,13916,6154,0
Online,0K,Amazon,610,430,8885,1777,1777,2428,0
Online,0K,Amazon,659,44,13569,2077,489,346,0
Online,0K,Amazon,572,562,15671,559,2406,5279,0
Online,0K,Amazon,291,918,8040,6340,2070,3795,0
Online,0K,Amazon,710,234,3191,1730,1799,1993,0
Offline,32K,Amazon,5121,18594,6134,6746,33586,23133,0
Online,4K,Amazon,1693,205,6623,7683,4740,1860,0
Online,14K,Amazon,1391,363,29526,432,16966,7961,0
Online,4K,Amazon,3265,1547,10379,4686,4748,17972,0
Online,0K,Amazon,615,111,31614,3242,1495,489,0
Online,4K,Amazon,373,392,11092,453,5249,5008,0
Online,0K,Amazon,987,3593,8475,5004,1883,1931,0
Online,0K,Amazon,3321,730,56083,6422,2124,4563,0
Online,7K,Amazon,818,967,53205,3012,7336,4959,0
Online,0K,Amazon,548,780,9193,327,2157,4885,0
Online,0K,Amazon,287,49,7858,6818,1094,1110,0
Online,0K,Amazon,655,429,23257,982,1677,1372,0
Online,4K,Amazon,411,2894,2153,4324,6684,1115,0
Offline,14K,Amazon,1265,5980,1073,61,15445,9679,0
Online,11K,Amazon,3636,830,5909,10155,13699,23527,0
Offline,21K,Amazon,2563,4882,572,2221,22182,9763,0
Online,0K,Amazon,3628,737,20893,3975,2576,1222,0
Offline,18K,Amazon,698,6374,11908,1069,19847,8053,0
Online,0K,Amazon,204,333,15218,2516,1138,258,0
Online,0K,Amazon,56,197,4720,5500,975,1032,0
Online,0K,Amazon,1550,147,2083,1120,1563,5007,0
Online,4K,Amazon,1040,93,514,529,6869,8323,0
Online,0K,Others,1824,210,36817,4802,1493,3045,0
Online,0K,Others,1153,759,894,744,1841,1703,0
Online,0K,Others,379,96,680,862,223,1610,0
Online,4K,Others,2503,603,27901,4479,6964,3749,0
Online,0K,Others,139,621,9061,16919,683,829,0
Online,0K,Others,1409,274,11693,5845,2543,2317,0
Offline,7K,Others,1721,3620,17360,1293,9694,6200,0
Online,0K,Others,1104,167,3366,977,2431,2884,0
Offline,4K,Others,2079,2328,12238,1093,6235,7108,0
Online,4K,Others,1404,1041,49063,5970,4252,3965,0
Online,0K,Others,1384,314,25767,10303,2013,3613,0
Online,11K,Others,2406,751,68951,8692,12609,4411,0
Online,4K,Others,18,436,40254,1042,3600,640,0
Online,0K,Others,128,1226,7149,1619,1242,2247,0
Online,0K,Others,1027,386,15354,8366,2828,2102,0
Online,0K,Others,258,445,16260,848,1296,594,0
Online,0K,Others,22,32,42786,1388,471,286,0
Online,0K,Others,1522,965,2708,502,2642,2160,0
Online,0K,Others,686,212,6022,2507,3261,3354,0
Online,4K,Others,1060,825,2838,3838,4329,3086,0
Offline,11K,Big Bazaar,741,5952,3996,902,12469,11103,0
Online,4K,Big Bazaar,1854,811,21273,909,6550,2013,0
Offline,4K,Big Bazaar,254,2208,7588,417,5234,1897,0
Online,4K,Big Bazaar,898,710,19087,3045,3643,1304,0
Offline,4K,Big Bazaar,531,3712,8090,1455,6986,3199,0
Offline,7K,Big Bazaar,1037,4538,6758,934,9965,4560,0
Online,0K,Big Bazaar,259,290,444,264,2060,879,0
Offline,4K,Big Bazaar,2005,2662,16448,824,6360,6243,0
Offline,18K,Big Bazaar,172,8752,5283,1809,20399,13316,0
Offline,7K,Big Bazaar,555,6236,2886,364,9785,5302,0
Offline,11K,Big Bazaar,59,10069,2599,492,13829,3688,0
Offline,21K,Big Bazaar,2410,11783,161,617,24773,7460,0
Offline,7K,Big Bazaar,211,3909,243,799,8852,12939,0
Offline,21K,Big Bazaar,1543,7558,6468,1840,21570,12867,0
Online,0K,Big Bazaar,925,351,17327,1149,2842,2374,0
Online,0K,Big Bazaar,656,257,6987,416,3007,1020,0
Offline,11K,Big Bazaar,806,6846,918,1465,13567,20655,0
Online,0K,Big Bazaar,1117,299,7034,12569,2405,1492,0
Online,7K,Big Bazaar,117,371,29635,3046,8280,2335,0
Offline,18K,Big Bazaar,142,17120,2137,1274,19172,3737,0
Online,0K,Big Bazaar,297,183,9784,4447,2405,925,0
Online,7K,Big Bazaar,1233,857,10617,1483,7647,1795,0
Offline,11K,Big Bazaar,3508,3891,1479,662,11924,14982,0
Online,0K,Big Bazaar,1059,83,7127,2679,2201,1375,0
Online,4K,Big Bazaar,1637,821,1182,978,6114,3088,0
Online,0K,Big Bazaar,51,706,11800,2121,3558,2713,0
Offline,14K,Big Bazaar,1625,12408,9759,1128,17645,25071,0
Online,0K,Big Bazaar,834,275,1774,514,2280,3696,0
Online,4K,Big Bazaar,1113,228,9155,2714,5167,1897,0
Online,0K,Big Bazaar,229,1470,15881,3703,3315,713,0
Online,11K,Big Bazaar,573,1679,13360,915,11593,944,0
Online,0K,Big Bazaar,1092,140,25977,2369,2464,3587,0
Online,11K,Big Bazaar,5609,1272,32717,60869,13626,16784,0
Online,0K,Big Bazaar,834,387,4414,3498,1431,1610,0
Online,0K,Big Bazaar,522,88,542,414,1664,899,0
Online,0K,Big Bazaar,1534,210,16933,7849,3389,2209,0
Online,4K,Big Bazaar,739,492,5113,5127,4583,1486,0
Online,4K,Big Bazaar,1043,182,9790,3570,5109,1786,0
Offline,25K,Big Bazaar,1102,9606,11223,1234,26839,14881,0
Online,0K,Big Bazaar,2602,178,22321,2208,1447,3216,0
Offline,64K,Big Bazaar,1215,38102,8565,131,67298,4980,0
Offline,0K,Big Bazaar,3486,332,16823,11559,2743,928,0
Offline,11K,Big Bazaar,2139,4111,27082,1365,10790,6817,0
Online,0K,Big Bazaar,778,146,13970,650,1330,1511,0
Online,0K,Big Bazaar,868,442,9351,8170,2611,1347,0
Online,4K,Big Bazaar,550,15,3,15601,7021,333,0
Online,4K,Big Bazaar,1942,573,2617,9584,5332,1188,0
Offline,7K,Others,1371,7271,381,388,9670,4025,0
Offline,11K,Others,2158,5162,2320,767,11238,5763,0
Online,4K,Others,1328,4595,255,349,5923,5758,0
Offline,25K,Others,37,15469,1689,1456,26316,6964,0
Online,0K,Others,379,217,3043,2234,1763,1172,0
Online,7K,Others,303,3843,1198,402,8335,2602,0
Offline,14K,Others,1115,6600,2771,2693,15541,6939,0
Offline,11K,Others,1022,4621,27380,2809,12311,7184,0
Online,0K,Others,665,1184,3428,1341,2028,2380,0
Offline,18K,Others,445,12218,5981,2005,20521,14641,0
Online,0K,Others,995,173,3521,1796,1997,1099,0
Offline,21K,Others,3137,12638,1210,1741,22294,10044,0
Online,0K,Others,195,90,608,830,1533,1106,0
Offline,18K,Others,1111,8682,117,228,21203,6264,0
Online,0K,Others,2341,1333,14039,6386,2548,7393,0
Online,0K,Others,127,184,190,245,2012,727,0
Online,0K,Others,548,9,22686,3157,218,134,0
Offline,21K,Others,110,6747,37,137,22272,1275,0
Online,0K,Others,4100,536,759,6114,1660,18664,0
Online,0K,Others,776,232,796,340,2109,5878,0
Online,0K,Others,503,468,19746,2601,2006,2872,0
Online,0K,Others,405,159,4734,1206,864,607,0
Online,0K,Others,712,179,2121,560,2453,1601,0
Online,4K,Others,314,1335,4627,191,4438,997,0
Online,0K,Others,468,514,2615,1103,1524,873,0
Offline,7K,Others,3105,4515,4692,1619,8025,6128,0
Online,0K,Others,447,222,9561,1173,1664,2217,0
Online,0K,Others,342,252,3477,1457,534,894,0
Online,0K,Others,558,101,22335,2046,2406,1196,0
Online,0K,Others,296,41,6211,1089,683,337,0
Offline,4K,Others,2235,523,39679,1364,4955,3944,0
Online,0K,Others,790,716,20105,8164,1939,1887,0
Online,0K,Others,4829,397,3884,876,1641,3801,0
Offline,7K,Others,3113,1916,15076,1504,7398,6257,0
Online,0K,Others,686,311,6338,1492,1668,2256,0
Online,0K,Others,70,476,5841,597,1162,1450,0
Offline,11K,Others,1426,4666,3136,5641,13586,8630,0
Online,0K,Others,1242,96,38793,1034,2648,3154,0
Online,0K,Others,1114,68,3225,282,1902,3294,0
Offline,7K,Others,179,813,4048,130,10391,5164,0
Online,0K,Others,270,600,28257,3881,2146,944,0
Online,0K,Others,532,246,17770,9927,1617,4591,0
Online,7K,Others,2893,1711,34454,2540,8469,7435,0
Online,0K,Others,361,397,1821,4006,3450,1364,0
Online,14K,Others,5120,282,10683,3635,15400,21858,0
Online,0K,Others,1068,192,11635,2583,1614,922,0
Online,0K,Others,967,353,1206,1945,2857,3620,0
Online,0K,Others,961,231,20918,1960,1573,1916,0
Online,0K,Others,406,200,9785,1677,1172,848,0
Online,0K,Others,684,227,9385,3019,1422,1530,0
Online,0K,Others,1000,311,3352,5502,1328,1181,0
Online,0K,Others,1827,95,2647,907,2313,2761,0
Online,4K,Others,654,122,518,659,3600,4180,0
Online,4K,Others,819,385,23632,8620,3842,6730,0
Online,0K,Others,452,149,12377,1398,3204,865,0
Online,0K,Others,290,841,9602,2921,1263,1316,0
Offline,7K,Others,2213,3378,4515,2644,9345,11991,0
Online,0K,Others,743,64,11535,6838,1428,1666,0
Online,0K,Others,247,74,11442,5390,582,1032,0
Online,0K,Others,375,469,9612,1601,935,577,0
Online,0K,Others,1014,153,4446,3576,1238,906,0
Online,0K,Others,1902,92,27167,13223,2128,2801,0
Online,4K,Others,340,10,26539,220,5091,4753,0
Online,4K,Others,288,632,25606,127,4604,11006,0
Online,0K,Others,715,914,18073,4324,3444,4613,0
Online,0K,Others,378,593,6884,2069,1167,1046,0
Online,4K,Others,960,1092,25066,9806,5026,5010,0
Offline,18K,Others,553,7883,7362,2854,18683,12844,0
Offline,4K,Others,344,2730,8257,1646,6407,3880,0
Online,4K,Others,5137,2123,8708,2349,6100,3634,0
Online,4K,Others,1892,1860,6633,1389,4563,2096,0
Online,0K,Others,4365,235,2126,1535,3281,3289,0
Online,11K,Others,62,2970,97,98,12400,3605,0
Online,4K,Others,2435,912,4983,17866,6633,4859,0
Online,0K,Others,290,1135,5969,5679,3417,1990,0
Offline,7K,Others,1874,3540,7842,1691,8552,6046,0
Offline,11K,Others,993,6728,4389,848,10908,10940,0
Online,11K,Others,1063,3485,5065,364,11055,5499,0
Offline,18K,Others,776,6740,660,133,18622,8494,0
Online,0K,Others,1521,1580,8861,633,2223,3783,0
Online,11K,Others,1393,6818,4456,25,13227,5266,0
Offline,7K,Others,1784,3415,17063,1031,9053,4847,0
Online,4K,Others,1218,948,26400,830,4172,1377,0
Offline,4K,Others,668,1803,17565,1059,4657,3686,0
Offline,11K,Others,249,3213,16980,874,12232,2884,0
Online,0K,Others,1886,108,11243,15348,2593,2408,0
Online,14K,Others,1894,5079,13134,3141,14316,9347,0
Online,4K,Others,1163,439,31012,15082,5429,16687,0
Online,4K,Others,317,850,3047,2198,4910,5970,0
Online,4K,Others,2501,84,8607,47,3580,1750,0
Online,14K,Others,2080,241,3097,575,16483,4230,0
Online,4K,Others,1498,1377,8533,13486,5160,5506,0
Online,4K,Others,395,1328,21117,269,4754,1162,0
Online,0K,Others,1449,356,1982,1541,1493,3218,0
Online,7K,Others,838,2371,16731,688,7994,3922,0
Online,14K,Others,2204,182,29703,13135,16027,12051,0
Online,0K,Others,2346,93,39228,4510,764,1431,0
Offline,29K,Others,1867,14841,14531,437,30243,15488,0
Online,0K,Others,2125,168,10290,1038,2232,1981,0
Online,0K,Others,52,477,2787,65,2510,1698,0
